player_name,playerid,fantasy_position,games,IP,H,ER,BB,K,W,L,SV,HD,fantasy_pts,avg_pts_per_game,ERA,WHIP
Zach Thornton,33891,SP,2,10.1,9,5,3,10,0,1,0,0,16.299999999999997,8.15,4.46,1.188
Michael Lorenzen,14843,SP,19,82.5,124,66,32,67,3,9,0,0,14.500000000000004,0.76,7.2,1.891
Coleman Crow,27926,SP,5,18.2,21,11,6,10,0,1,0,0,13.6,2.72,5.44,1.484
Tanner Banks,16990,SP,26,25.1,40,18,13,31,0,4,0,2,13.3,0.51,6.45,2.112
Zach Pop,20185,SP,7,7.1,5,3,3,6,0,0,0,0,13.3,1.9,3.8,1.127
Brandon Williamson,25463,SP,6,26.6,26,19,20,19,2,3,0,0,12.8,2.13,6.43,1.729
Jose Cabrera,30412,SP,3,13.1,16,7,5,10,0,1,0,0,12.3,4.1,4.81,1.603
Keegan Akin,19362,SP,24,22.3,29,16,9,17,0,1,0,0,11.900000000000002,0.5,6.46,1.704
Kyle Backhus,29615,SP,16,10.6,18,9,2,14,1,0,0,1,11.8,0.74,7.64,1.887
Hurston Waldrep,33527,SP,2,7.1,7,3,5,7,0,0,0,0,10.299999999999999,5.15,3.8,1.69
Chris Paddack,20099,SP,14,54.9,76,43,19,40,0,7,0,0,9.700000000000005,0.69,7.05,1.73
Zach Eflin,13774,SP,1,3.2,4,1,2,7,0,0,0,0,8.600000000000001,8.6,2.81,1.875
Carson Whisenhunt,31676,SP,1,5,6,2,2,2,1,0,0,0,7,7,3.6,1.6
Elmer Rodríguez,31811,SP,4,16.3,19,9,11,10,0,2,0,0,6.9,1.73,4.97,1.84
Mitch Bratt,30003,SP,1,3,2,1,2,3,0,0,0,0,6,6,3,1.333
Cody Ponce,17920,SP,1,2.1,1,1,1,3,0,0,0,0,5.300000000000001,5.3,4.29,0.952
Matt Waldron,25550,SP,6,22.4,33,22,7,22,1,2,0,0,3.200000000000003,0.53,8.84,1.786
