player_name,playerid,fantasy_position,games,AB,H,2B,3B,HR,R,RBI,BB,K,SB,TB,fantasy_pts,avg_pts_per_game
Brandon Marsh,20202,OF,106,390,109,15,2,16,56,49,22,111,10,176,202,1.91
Sam Antonacci,35101,OF,90,312,87,14,2,8,58,32,26,57,14,129,202,2.24
Brandon Nimmo,12927,OF,105,401,107,26,4,10,44,39,36,96,6,171,200,1.9
Josh Jung,26299,3B,92,354,104,23,1,9,46,35,33,71,1,156,200,2.17
Kyle Karros,33252,3B,104,313,84,20,2,9,54,39,45,77,3,135,199,1.91
Trevor Larnach,21501,OF,92,289,82,19,1,9,48,39,38,58,2,130,199,2.16
Ian Happ,17919,OF,107,396,86,21,2,18,65,48,59,143,4,165,198,1.85
Luke Keaschall,33321,2B,104,346,90,15,1,5,52,32,41,62,13,122,198,1.9
Chase Meidroth,31580,2B,107,393,106,20,0,9,62,40,42,102,2,153,197,1.84
Steven Kwan,24610,OF,103,351,90,14,2,1,43,21,53,41,8,111,195,1.89
Jake Burger,22275,1B,106,392,92,16,0,19,45,66,31,115,2,165,194,1.83
Jackson Chourio,28806,OF,76,319,87,20,0,13,53,42,24,84,10,146,191,2.51
Jeremy Peña,21636,SS,64,251,80,12,1,12,52,34,17,51,8,130,190,2.97
Spencer Steer,26323,1B,98,340,81,14,0,16,54,40,35,86,3,143,189,1.93
Jazz Chisholm Jr.,20454,2B,103,365,81,14,2,16,53,45,40,127,30,147,188,1.83
Xander Bogaerts,12161,SS,105,366,81,10,0,9,45,40,48,77,14,118,188,1.79
Colson Montgomery,29712,3B,104,391,84,17,0,25,50,63,36,140,1,176,186,1.79
Nolan Schanuel,33189,1B,91,337,93,19,0,6,34,37,33,53,1,130,182,2
Spencer Horwitz,26477,1B,74,246,69,11,1,10,36,33,40,40,1,112,182,2.46
Mookie Betts,13611,SS,74,289,67,11,0,13,42,36,23,39,1,117,180,2.43
Carter Jensen,29478,C,104,366,86,24,1,15,48,54,39,120,1,157,179,1.72
Jac Caglianone,35041,OF,103,367,92,17,2,18,48,42,27,111,3,167,176,1.71
Adley Rutschman,26288,C,67,247,62,19,1,8,30,47,30,40,0,107,174,2.6
Javier Sanoja,28253,3B,94,277,74,21,2,4,27,37,16,23,6,111,174,1.85
Ty France,17982,1B,85,265,78,13,2,16,35,49,14,68,1,143,174,2.05
