PlayerName,playerid,mlbam_id,fantasy_position,WAR
Jason Alexander,19666,669920,SP,-0.0867
Sean Sullivan,33502,807743,SP,-0.087
Braydon Fisher,24609,680755,SP,-0.0909
Mason Miller,31757,695243,RP,2.2193
Louis Varland,27691,686973,RP,2.1072
Adrian Morejon,20039,670970,RP,1.7169
Jhoan Duran,21029,661395,RP,1.6714
Cade Smith,27867,671922,RP,1.4696
Trevor Megill,17722,656730,RP,1.4421
Dylan Lee,19996,669276,RP,1.3559
Luke Weaver,16918,596133,RP,1.0741
Alex Vesia,25007,681911,RP,0.9601
Antonio Senzatela,15488,622608,RP,0.949
Tanner Scott,17586,656945,RP,0.9475
Aroldis Chapman,10233,547973,RP,0.9087
Raisel Iglesias,17130,628452,RP,0.902
Brent Headrick,27702,687396,RP,0.8949
Grant Wolfram,21623,664991,RP,0.8438
David Bednar,19569,670280,RP,0.8403
Anthony Bender,19742,669622,RP,0.8376
Fernando Cruz,7048,518585,RP,0.8347
Michael Petersen,20827,656848,RP,0.8292
Erik Sabrowski,24978,681870,RP,0.8241
Robert Suarez,30115,663158,RP,0.8199
Bryan Baker,19804,641329,RP,0.8072
Colin Holderman,22361,670059,RP,0.7828
Jeff Hoffman,17432,656546,RP,0.7643
Juan Morillo,21924,666661,RP,0.7579
Garrett Whitlock,20191,676477,RP,0.7441
Tyler Rogers,15541,643511,RP,0.7415
Devin Williams,15816,642207,RP,0.6618
Evan Sisk,24995,681895,RP,0.6534
Eduard Bazardo,20997,660825,RP,0.5978
Edgardo Henriquez,26944,683618,RP,0.5879
Bryan King,25890,687911,RP,0.5754
Eric Orze,27626,679358,RP,0.5591
Abner Uribe,25327,682842,RP,0.5576
Mark Leiter Jr.,15551,643410,RP,0.5403
Gregory Soto,19677,642397,RP,0.5302
Yennier Cano,25911,666974,RP,0.5206
Tyler Wells,20000,669330,RP,0.5171
Riley O'Brien,20348,676617,RP,0.5093
Daniel Lynch IV,21537,663738,RP,0.5082
José A. Ferrer,24017,678606,RP,0.5014
Peyton Gray,25310,682608,RP,0.4899
Jonathan Bowlan,24607,680742,RP,0.4847
Andrés Muñoz,20373,662253,RP,0.4832
Kyle Hurt,27514,669165,RP,0.4644
Rico Garcia,20023,670329,RP,0.4583
Brandyn Garcia,33568,805299,RP,0.4531
José Alvarado,17780,621237,RP,0.4518
Josh Hader,14212,623352,RP,0.4411
Kevin Kelly,25679,687330,RP,0.4317
