game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_wr,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_bonus_rec_rb,proj_rush_2pt,proj_bonus_rec_te,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_def_kr_yd,proj_pr,proj_pr_yd,proj_blk_kick,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pts_allow,proj_pts_allow_14_20,proj_sack,proj_tkl_loss,proj_yds_allow,proj_yds_allow_200_299,proj_pr_td,proj_fgmiss_30_39,proj_fgmiss_40_49,proj_safe,proj_yds_allow_300_349,proj_pts_allow_21_27,proj_yds_allow_350_399,proj_fgm_0_19,proj_def_kr_td,proj_def_pr_td,proj_st_td
202510909,ARI,11533,2025,DAL,9,999.0,,,,,1.0,999.0,11.17,11.17,11.17,,,,,,,,,,,,,,,,,,,,,2.6,2.26,0.48,0.55,0.62,0.62,96.37,0.21,2.67,2.6,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,,,,,,,,
202510932,NO,2133,2025,LAR,9,32.0,4.18,0.0,0.07,0.03,1.0,14.0,12.62,14.71,10.53,4.18,0.84,1.25,0.84,0.02,0.42,0.42,0.84,6.53,0.67,8.06,65.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510923,NYG,4217,2025,SF,9,42.0,,0.0,0.06,0.03,1.0,2.0,12.09,14.46,9.72,4.74,0.95,1.42,0.95,0.01,0.47,0.47,0.95,6.71,0.51,6.05,67.11,,,,,,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510928,PIT,5870,2025,IND,9,82.0,,0.02,1.06,0.46,1.0,11.0,20.34,20.34,20.34,,,,,,,,,,,,,0.03,6.16,2.87,0.29,28.71,,0.01,,,,,,,,,,,,,65.8,0.05,31.16,20.5,0.28,24.38,10.66,0.74,0.03,2.53,1.32,243.81,,,,,,,,,,,,,,,,,,,,,,,,,,
202510909,ARI,6786,2025,DAL,9,7.0,6.99,0.0,0.07,0.03,1.0,4.0,16.84,20.33,13.34,6.99,1.4,2.1,1.4,0.02,0.7,0.7,1.4,9.06,0.62,9.88,90.65,0.0,0.7,0.41,0.02,4.08,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510907,CHI,7564,2025,CIN,9,5.0,6.56,0.0,0.06,0.03,1.0,3.0,17.56,20.84,14.28,6.56,1.31,1.97,1.31,0.02,0.66,0.66,1.31,9.37,0.77,10.04,93.75,0.0,0.44,0.2,0.01,2.04,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510904,KC,8138,2025,BUF,9,16.0,,0.0,0.2,0.09,1.0,10.0,15.9,17.26,14.54,2.72,0.54,0.82,0.54,0.0,0.27,0.27,0.54,2.06,0.21,3.14,20.59,0.07,14.19,7.52,0.64,75.17,2.72,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510928,IND,8228,2025,PIT,9,25.0,,0.0,0.17,0.08,1.0,14.0,13.66,15.09,12.23,2.86,0.57,0.86,0.57,0.0,0.29,0.29,0.57,2.15,0.18,3.2,21.51,0.06,14.92,6.44,0.45,64.39,2.86,0.02,,,,,,,,,,,,,,,,,,,,,,,,,13.34,,,,,,,,,,,,,,,,,,,,,,,,,
202510911,DET,8408,2025,MIN,9,118.0,,0.0,0.12,0.05,1.0,33.0,7.96,8.42,7.5,0.92,0.18,0.28,0.18,0.0,0.09,0.09,0.18,0.63,0.05,1.24,6.29,0.04,9.84,4.5,0.36,44.95,0.92,0.01,,,,,,,,,,,,,,,,,,,,,,,,,11.33,,,,,,,,,,,,,,,,,,,,,,,,,
202510932,NO,9493,2025,LAR,9,4.0,7.36,0.0,0.08,0.04,1.0,2.0,17.47,21.15,13.79,7.36,1.47,2.21,1.47,0.02,0.74,0.74,1.47,10.16,0.51,10.41,101.62,0.0,0.69,0.41,0.03,4.14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510928,IND,PIT,2025,PIT,9,999.0,,0.05,,,1.0,999.0,6.51,6.51,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,37.04,,14.07,0.05,51.11,0.15,0.8,0.5,0.7,27.5,,2.24,4.43,373.47,,,,,0.05,,1.0,1.0,,,,
