game_date,game_pk,game_year,game_type,batter,pitcher,player_name,stand,p_throws,home_team,away_team,inning,inning_topbot,at_bat_number,pitch_number,balls,strikes,outs_when_up,pitch_type,pitch_name,release_speed,release_spin_rate,release_extension,effective_speed,plate_x,plate_z,zone,pfx_x,pfx_z,description,events,bb_type,hit_location,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,delta_run_exp,delta_home_win_exp,bat_speed,swing_length,attack_angle,swing_path_tilt,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,sz_top,sz_bot
2026-08-02,823996,2026,R,685133,694819,"Meckler, Wade",L,R,LAA,MIL,5,Bot,34,2,0,1,0,FF,4-Seam Fastball,99.5,2607.0,7.7,101.6,-0.2523470415807605,2.912355452849249,2.0,-0.97,1.25,foul,,,,88.0,54.0,251.0,,,,,,,,-0.056,-0.004,68.1,6.4,9.673147338241828,37.71510535096695,2,1,3.098015092,1.563484252
2026-08-02,824163,2026,R,666211,677958,"Trammell, Taylor",L,R,HOU,TEX,3,Bot,23,3,2,0,2,SL,Slider,82.2,2223.0,6.8,83.4,-0.843057725077717,1.7180261333038669,13.0,0.17,-0.42,ball,,,,,,,,,,,,,,0.056,0.003,,,,,2,1,3.26300853,1.646751969
2026-08-02,824323,2026,R,521692,607536,"Perez, Salvador",R,L,COL,KC,3,Top,23,5,2,2,1,KC,Knuckle Curve,84.2,2412.0,6.6,85.4,-1.462614774232759,1.0009117924012043,13.0,0.18,0.02,ball,,,,,,,,,,,,,,0.066,-0.009,,,,,2,1,3.312155512,1.671555118
2026-08-02,823592,2026,R,596019,645261,"Lindor, Francisco",L,R,NYM,MIA,3,Bot,22,1,0,0,2,FC,Cutter,90.3,2007.0,6.0,90.0,0.2602232465561706,2.513502721356544,5.0,0.23,0.32,swinging_strike,,,,,,,,,,,,,,-0.028,-0.008,69.1,6.4,-9.320718577809457,36.69933154942437,2,1,3.107668963,1.568356299
2026-08-02,824483,2026,R,699013,695505,"Valdez, Esmerlyn",R,R,CIN,PIT,4,Top,33,1,0,0,1,SL,Slider,87.2,2669.0,6.3,87.3,0.4786962924178854,2.349632323084027,6.0,0.27,0.2,called_strike,,,,,,,,,,,,,,-0.04,0.002,,,,,2,1,3.311277887,1.671112205
2026-08-02,822943,2026,R,656775,641743,"Mullins, Cedric",L,L,TB,CWS,5,Bot,38,2,0,1,0,SL,Slider,87.6,2462.0,5.8,86.8,-0.9102953133641358,2.7104240669580903,11.0,-0.45,-0.19,ball,,,,,,,,,,,,,,0.029,0.003,,,,,2,1,3.004986877,1.516535433
2026-08-02,824891,2026,R,682928,702275,"Abrams, CJ",L,R,ATL,WSH,3,Top,19,3,2,0,2,CU,Curveball,82.2,2654.0,6.5,82.8,-1.1725940018672043,2.689032527226844,11.0,1.23,-0.85,ball,,,,,,,,,,,,,,0.033,-0.003,,,,,2,1,3.222637795,1.626377953
2026-08-02,823919,2026,R,663656,687562,"Tucker, Kyle",L,L,LAD,BOS,3,Bot,32,3,0,2,2,ST,Sweeper,81.3,2365.0,6.8,82.0,-1.3268633913093075,0.5907984151570504,13.0,-1.09,-0.43,ball,,,,,,,,,,,,,,0.025,0.001,,,,,2,1,3.350770997,1.691043307
2026-08-02,824971,2026,R,695720,672456,"White, Tommy",R,R,ATH,DET,4,Bot,36,2,1,0,0,SI,Sinker,92.8,2219.0,6.1,92.6,-1.2115751769099965,1.988724880385476,13.0,-1.35,0.97,hit_into_play,field_out,ground_ball,5.0,68.7,-4.0,19.0,101.93,168.47,0.092,0.096,0.0,0.0,0.0,-0.306,-0.012,69.5,7.5,8.05249327402471,41.84199084205959,2,1,3.194553806,1.612204724
2026-08-02,822783,2026,R,691026,453286,"Winn, Masyn",R,R,TOR,STL,4,Top,24,1,0,0,2,FF,4-Seam Fastball,93.1,2481.0,6.2,92.5,-0.4761659910381555,3.7307385089258873,11.0,-0.86,1.39,ball,,,,,,,,,,,,,,0.039,-0.001,,,,,2,1,3.081340223,1.555068898
2026-08-02,823107,2026,R,665019,669923,"Clemens, Kody",L,R,SEA,MIN,4,Top,28,7,2,2,0,KC,Knuckle Curve,84.4,2476.0,6.8,85.0,1.3223190523367645,1.6159649800228788,14.0,0.53,-1.21,foul,,,,,,,,,,,,,,0.0,0.0,69.1,8.1,27.386047547505143,31.731639755002973,2,1,3.211228675,1.620620079
2026-08-02,824807,2026,R,656941,680694,"Schwarber, Kyle",L,R,BAL,PHI,3,Top,18,5,2,2,1,SI,Sinker,95.3,2121.0,6.5,95.4,0.1702153608086087,1.1631914725678616,14.0,-1.18,1.02,foul,,,,93.7,-28.0,3.0,,,,,,,,0.0,0.0,77.6,7.3,6.477042475002221,37.0212358383625,2,1,3.180511811,1.60511811
2026-08-02,823270,2026,R,630105,694738,"Cronenworth, Jake",L,R,SD,SF,2,Bot,19,3,2,0,2,CU,Curveball,76.8,3124.0,6.4,76.6,0.3948077662913478,1.2609862735939426,14.0,1.59,-0.59,swinging_strike,,,,,,,,,,,,,,-0.044,-0.014,72.4,8.8,31.931111294390192,34.76910788353959,2,1,3.171735564,1.600688976
2026-08-02,824648,2026,R,663757,607067,"Grisham, Trent",L,R,CHC,NYY,3,Top,17,3,1,1,0,FF,4-Seam Fastball,93.7,2128.0,6.7,94.0,0.5853187708053516,1.8008840682997322,9.0,-0.65,1.29,hit_into_play,field_out,popup,5.0,72.9,64.0,131.0,89.15,176.37,0.001,0.0,0.0,0.0,0.0,-0.239,0.026,77.1,7.8,8.424203347445665,34.53758229276658,2,1,3.138385827,1.583858268
2026-08-02,823996,2026,R,669003,700712,"Mitchell, Garrett",L,R,LAA,MIL,3,Top,20,4,1,2,2,CH,Changeup,92.8,1853.0,6.2,92.9,-0.6611079504669675,2.025333669576856,7.0,-1.33,0.28,foul,,,,68.7,-67.0,1.0,,,,,,,,0.0,0.0,76.0,7.8,16.909632430111525,27.1027554370357,2,1,3.292847769,1.661811024
2026-08-02,823919,2026,R,702332,670090,"Durbin, Caleb",R,R,LAD,BOS,9,Top,76,5,3,1,1,FF,4-Seam Fastball,88.8,2016.0,7.2,90.2,1.1112724682839312,4.168082420464513,12.0,-0.54,0.57,ball,walk,,,,,,,,,0.697819,0.7,0.0,0.0,0.171,-0.001,,,,,2,4,2.947063648,1.48730315
