dt,WVHT,DPD,APD,MWD,WTMP
2025-05-10T03:26:00Z,0.8,9,5.6,84,25
2025-05-10T02:56:00Z,0.7,10,5.8,83,25
2025-05-10T02:26:00Z,0.8,9,4.3,89,25
2025-05-10T01:56:00Z,0.8,10,4.5,90,25.1
2025-05-10T01:26:00Z,0.7,9,4.5,89,25.1
2025-05-10T00:56:00Z,0.8,10,5,89,25.1
2025-05-10T00:26:00Z,0.8,10,5.1,83,25.2
2025-05-09T23:56:00Z,0.8,10,4.7,80,25.2
2025-05-09T23:26:00Z,0.8,10,4.7,80,25.3
2025-05-09T22:56:00Z,0.8,11,5,84,25.3
2025-05-09T22:26:00Z,0.8,10,4.7,94,25.3
2025-05-09T21:56:00Z,0.9,9,5,90,25.5
2025-05-09T21:26:00Z,0.8,10,4.9,87,25.5
2025-05-09T20:56:00Z,0.8,10,5.2,83,25.7
2025-05-09T20:26:00Z,0.8,11,5.9,80,25.6
2025-05-09T19:56:00Z,0.7,9,6.2,83,25.9
2025-05-09T19:26:00Z,0.7,10,6.4,87,26
2025-05-09T18:56:00Z,0.7,9,6.7,87,26.1
2025-05-09T18:26:00Z,0.7,9,6.7,86,25.9
2025-05-09T17:56:00Z,0.7,10,6.5,80,26
2025-05-09T17:26:00Z,0.7,9,6.2,89,25.8
2025-05-09T16:56:00Z,0.7,9,6.3,86,25.8
2025-05-09T16:26:00Z,0.7,10,6,83,25.4
2025-05-09T15:56:00Z,0.7,11,5.7,82,25.4
2025-05-09T15:26:00Z,0.7,10,5.9,93,25.2
2025-05-09T14:56:00Z,0.7,9,5.7,94,25
2025-05-09T14:26:00Z,0.7,10,5.3,98,24.9
2025-05-09T13:56:00Z,0.7,9,5.6,94,24.8
2025-05-09T13:26:00Z,0.7,10,5.4,93,24.7
2025-05-09T12:56:00Z,0.8,10,5.3,94,24.7
2025-05-09T12:26:00Z,0.8,11,5.1,93,24.6
2025-05-09T11:56:00Z,0.8,10,4.8,90,24.6
2025-05-09T11:26:00Z,0.8,10,4.7,89,24.6
2025-05-09T10:56:00Z,0.8,9,4.4,93,24.6
2025-05-09T10:26:00Z,0.9,10,5.1,91,24.6
2025-05-09T09:56:00Z,0.8,9,4.6,86,24.6
2025-05-09T09:26:00Z,0.9,10,4.7,96,24.6
2025-05-09T08:56:00Z,0.8,9,4.4,89,24.6
2025-05-09T08:26:00Z,0.9,10,4.3,82,24.6
2025-05-09T07:56:00Z,0.9,9,4.3,93,24.7
2025-05-09T07:26:00Z,0.9,10,4.6,90,24.7
2025-05-09T06:56:00Z,1,10,4.7,100,24.7
2025-05-09T06:26:00Z,1,9,4.7,90,24.7
2025-05-09T05:56:00Z,1,10,4.7,90,24.7
2025-05-09T05:26:00Z,1,10,4.3,101,24.7
2025-05-09T04:56:00Z,0.9,5,4.3,156,24.7
2025-05-09T04:26:00Z,1,10,4.3,93,24.7
2025-05-09T03:56:00Z,0.9,4,3.9,162,24.8
2025-05-09T03:26:00Z,0.9,4,4,148,24.8
2025-05-09T02:56:00Z,0.9,4,3.8,151,24.8
2025-05-09T02:26:00Z,0.8,4,3.9,152,24.8
2025-05-09T01:56:00Z,0.8,9,3.8,87,24.8
2025-05-09T01:26:00Z,0.8,4,3.6,153,24.9
2025-05-09T00:56:00Z,0.7,10,3.8,89,24.9
2025-05-09T00:26:00Z,0.7,9,3.9,91,25
2025-05-08T23:56:00Z,0.7,9,3.8,97,25
2025-05-08T23:26:00Z,0.7,9,4.1,90,25
2025-05-08T22:56:00Z,0.7,9,4,90,25.1
2025-05-08T22:26:00Z,0.7,9,4,97,25.1
2025-05-08T21:56:00Z,0.7,9,3.7,91,25.1
2025-05-08T21:26:00Z,0.7,9,4.2,91,25.1
2025-05-08T20:56:00Z,0.6,8,4.1,89,25.2
2025-05-08T20:26:00Z,0.6,9,4.4,90,25.4
2025-05-08T19:56:00Z,0.6,8,4.6,87,25.5
2025-05-08T19:26:00Z,0.6,8,4.8,91,25.6
2025-05-08T18:56:00Z,0.6,8,4.9,91,25.5
2025-05-08T18:26:00Z,0.6,8,4.6,86,25.6
2025-05-08T17:56:00Z,0.6,9,4.8,96,25.6
2025-05-08T17:26:00Z,0.6,9,4.7,89,25.7
2025-05-08T16:56:00Z,0.7,4,4.4,151,25.7
2025-05-08T16:26:00Z,0.6,4,4.4,153,25.5
2025-05-08T15:56:00Z,0.7,4,4.3,151,25.4
2025-05-08T15:26:00Z,0.7,4,4.4,151,24.9
2025-05-08T14:56:00Z,0.7,5,4.2,152,24.8
2025-05-08T14:26:00Z,0.7,5,4.1,151,24.6
2025-05-08T13:56:00Z,0.8,5,4,159,24.6
2025-05-08T13:26:00Z,0.8,5,4,160,24.6
2025-05-08T12:56:00Z,1,5,4,158,24.6
2025-05-08T12:26:00Z,1,5,4,163,24.6
2025-05-08T11:56:00Z,1,5,4,163,24.6
2025-05-08T11:26:00Z,1.1,5,3.9,166,24.6
2025-05-08T10:56:00Z,1.1,5,3.9,167,24.6
2025-05-08T10:26:00Z,1.1,4,3.8,167,24.6
2025-05-08T09:56:00Z,1.1,4,3.9,163,24.6
